Designator,Mid X,Mid Y,Rotation,Layer
BCKPWR1,-0.068,41.97,270.0,top
C1,5.01,38.47,180.0,top
C2,5.01,40.97,180.0,top
C3,5.01,43.47,180.0,top
C4,5.01,45.97,180.0,top
I2C1,18.462,66.909167,90.0,top
I2C2,18.462,57.415834,90.0,top
I2C3,18.462,47.9225,90.0,top
I2C4,18.462,38.429167,90.0,top
LED1,-5.658,50.59,0.0,top
LED2,-5.658,52.622,0.0,top
LEDPWR1,-6.42,41.954,270.0,top
R1,-19.77,56.32,270.0,top
R2,-19.77,52.476,90.0,top
R3,-19.77,47.142,90.0,top
R4,-19.77,43.078,270.0,top
R5,-1.848,50.59,180.0,top
R6,-1.848,52.622,180.0,top
